packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
18877,1551434203.314797,6,1448,130.206.193.108,192.168.1.149,443,41572
18878,1551434203.314803,6,1448,130.206.193.108,192.168.1.149,443,41572
18879,1551434203.314808,6,1448,130.206.193.108,192.168.1.149,443,41572
18880,1551434203.315526,6,1448,130.206.193.108,192.168.1.149,443,41572
18881,1551434203.315552,6,1448,130.206.193.108,192.168.1.149,443,41572
18882,1551434203.315562,6,1448,130.206.193.108,192.168.1.149,443,41572
18883,1551434203.315565,6,1448,130.206.193.108,192.168.1.149,443,41572
18884,1551434203.315575,6,1448,130.206.193.108,192.168.1.149,443,41572
18885,1551434203.315579,6,1448,130.206.193.108,192.168.1.149,443,41572
18886,1551434203.315583,6,1448,130.206.193.108,192.168.1.149,443,41572
18887,1551434203.31562,6,664,130.206.193.108,192.168.1.149,443,41572
18888,1551434203.316067,6,1448,130.206.193.108,192.168.1.149,443,41572
18889,1551434203.316091,6,1448,130.206.193.108,192.168.1.149,443,41572
18890,1551434203.3161,6,1448,130.206.193.108,192.168.1.149,443,41572
18891,1551434203.316109,6,1448,130.206.193.108,192.168.1.149,443,41572
18892,1551434203.316118,6,1448,130.206.193.108,192.168.1.149,443,41572
18893,1551434203.316127,6,1448,130.206.193.108,192.168.1.149,443,41572
18894,1551434203.316727,6,1448,130.206.193.108,192.168.1.149,443,41572
18895,1551434203.316748,6,1448,130.206.193.108,192.168.1.149,443,41572
18896,1551434203.316775,6,1448,130.206.193.108,192.168.1.149,443,41572
18897,1551434203.316794,6,1448,130.206.193.108,192.168.1.149,443,41572
18898,1551434203.31755,6,1448,130.206.193.108,192.168.1.149,443,41572
18899,1551434203.317572,6,1448,130.206.193.108,192.168.1.149,443,41572
18900,1551434203.317581,6,1448,130.206.193.108,192.168.1.149,443,41572
18901,1551434203.317595,6,1448,130.206.193.108,192.168.1.149,443,41572
18902,1551434203.317604,6,1448,130.206.193.108,192.168.1.149,443,41572
18903,1551434203.31819,6,1448,130.206.193.108,192.168.1.149,443,41572
18904,1551434203.318202,6,1448,130.206.193.108,192.168.1.149,443,41572
18905,1551434203.318207,6,1448,130.206.193.108,192.168.1.149,443,41572
18906,1551434203.318212,6,1448,130.206.193.108,192.168.1.149,443,41572
18907,1551434203.318218,6,1448,130.206.193.108,192.168.1.149,443,41572
